category,cz_cec_doe,city_ind,utility,Freq,roof_sqft.x,OID,latitude,longitude,roof_sqft.y,floor_sqft,diff,month,n,min_io,min_irr,max_p,max_punmet,num_floors,in_over_out_mo,clp_index,clp_name,clp_multiplier,critical_load_pct,dur_index,dur_name,dur_duration,roof_sqft
Coll,12_3B,1,Pacific Gas & Electric Company,0.25,5240.381119,3533,37.99059633,-121.3222624,4176.174648,5200,1064.206471,6,1,NA,NA,0.002218441,NA,1,0.946173655,3,medium,0.8,0.756938924,1,2 day,48,5200
W,6_3B,1,Southern California Edison,0.9,25203.47763,3071,33.77012922,-118.1954536,24903.22824,25200,300.249392,8,1,NA,NA,0.001078518,NA,1,1.81700799,1,low,0.5,0.908503995,1,2 day,48,25200
W,8_3B,1,City of Anaheim Public Utilities Department,0.25,4413.584968,17164,33.82954545,-117.9183615,4261.113583,4400,152.4713841,8,1,NA,NA,0.001224268,NA,1,1.66709061,4,high_medium,1,1.66709061,3,8 day,192,4400
Pri,10_3B,1,City of Riverside,0.01,1655.672317,18117,33.91479177,-117.4713013,3809.151835,2200,2153.479518,6,2,0.67415669,NA,0.002272481,NA,1.3,0.67415669,2,low_medium,0.666666667,0.449437793,2,4 day,96,1700
Pri,16_5B,0,Pacific Gas & Electric Company,0,678.8926162,2933,39.68038881,-120.2487855,1108.454534,700,429.5619179,8,1,NA,NA,NA,0.000638236,1,1.436043303,2,low_medium,0.666666667,0.957362202,2,4 day,96,700
Pri,3_3C,0,Pacific Gas & Electric Company,0.1,12924.50181,16975,37.70637463,-122.4502807,13392.38374,12900,467.8819251,12,2,0.663892069,3500,NA,NA,1,0.663892069,2,low_medium,0.666666667,0.442594713,1,2 day,48,12900
W,8_3B,0,Southern California Edison,0.1,2543.392154,6941,33.92537576,-118.2921653,2529.714076,2500,13.67807859,10,1,1.605678478,NA,NA,NA,1,1.605678478,2,low_medium,0.666666667,1.070452319,2,4 day,96,2500
Pri,4_3C,1,Pacific Gas & Electric Company,0.9,82302.16623,2437,37.34771528,-122.036247,82275.11881,107000,27.04742424,12,2,0.544480559,3750,NA,NA,1.3,0.544480559,1,low,0.5,0.27224028,2,4 day,96,82300
CC,8_3B,0,Southern California Edison,0.99,118774.7684,12638,33.96775383,-118.1763612,103227.1262,118800,15547.6422,8,1,NA,NA,0.002716762,NA,1,0.751249308,5,high,1.333333333,1.001665744,2,4 day,96,118800
CC,14_3B,1,Southern California Edison,0.5,11698.76992,17106,34.52504481,-117.2958549,9406.655567,14000,2292.114357,12,1,NA,5660,NA,NA,1.2,1.042556954,5,high,1.333333333,1.390075939,2,4 day,96,11700
Sec,6_3B,0,San Diego Gas & Electric,0.99,363477.3211,5504,33.44066808,-117.6160126,280460.2538,436200,83017.0673,4,1,NA,NA,NA,0.000264129,1.2,1.156045392,1,low,0.5,0.578022696,1,2 day,48,363500
CC,7_3B,1,San Diego Gas & Electric,0.9,35182.88873,12673,33.16134714,-117.3436815,32672.82203,42200,2510.066695,12,1,NA,5140,NA,NA,1.2,0.828962368,5,high,1.333333333,1.105283158,1,2 day,48,35200
CC,3_3C,1,Pacific Gas & Electric Company,0.99,118774.7684,5219,37.84247278,-122.2693166,109077.6149,142500,9697.153574,4,1,NA,NA,NA,0.000192002,1.2,1.117495352,1,low,0.5,0.558747676,3,8 day,192,118800
Pri,12_3B,1,Sacramento Municipal Utility District,0.99,150264.4189,5833,38.48692,-121.4732704,104219.7445,195300,46044.6744,6,1,NA,NA,0.002322793,NA,1.3,0.695128132,4,high_medium,1,0.695128132,2,4 day,96,150300
Pri,2_3C,1,Pacific Gas & Electric Company,0.25,34543.24085,9889,38.30935687,-122.3163425,33561.98462,44900,981.2562305,12,2,0.488287764,3330,NA,NA,1.3,0.488287764,3,medium,0.8,0.390630211,2,4 day,96,34500
Pri,12_3B,0,Sacramento Municipal Utility District,0.75,67085.79308,5731,38.39872353,-121.4239682,67612.08567,67100,526.2925892,1,2,0.580003246,3110,NA,NA,1,0.580003246,1,low,0.5,0.290001623,2,4 day,96,67100
W,15_3B,0,Imperial Irrigation District,0.25,4413.584968,13521,33.58854046,-116.2321989,4359.687374,4400,53.89759341,3,1,NA,NA,NA,0.001115803,1,2.233150496,3,medium,0.8,1.786520397,3,8 day,192,4400
Coll,8_3B,1,Southern California Edison,0.99,780061.4012,343,33.83189736,-118.1359389,751818.9051,780100,28242.49604,7,1,NA,NA,NA,0.000396041,1,1.24377742,5,high,1.333333333,1.658369894,3,8 day,192,780100
Sec,12_3B,0,Sacramento Municipal Utility District,0.25,62916.35818,13683,38.69470623,-121.2931943,66212.10581,75500,3295.747637,6,1,NA,NA,0.002218441,NA,1.2,0.788478046,3,medium,0.8,0.630782437,1,2 day,48,62900
CC,7_3B,0,San Diego Gas & Electric,0.1,3198.771136,9537,33.22255589,-117.3794542,3060.723885,3200,138.0472515,7,1,0.823965055,NA,NA,NA,1,0.823965055,5,high,1.333333333,1.098620073,2,4 day,96,3200
Pri,15_2B,0,Imperial Irrigation District,0.9,82302.16623,16398,32.81353627,-115.3723909,86662.29611,82300,4360.129879,4,1,NA,NA,NA,0.000202887,1,1.102752141,4,high_medium,1,1.102752141,3,8 day,192,82300
Pri,16_3B,0,Pacific Gas & Electric Company,0.01,1655.672317,3788,37.22723,-119.5055606,5052.230779,1700,3396.558462,8,1,NA,NA,NA,0.000967003,1,1.785710488,5,high,1.333333333,2.380947318,1,2 day,48,1700
W,6_3B,0,Southern California Edison,0,651.5666403,15956,33.60065251,-117.6754991,657.9660996,700,6.399459288,4,1,NA,NA,NA,0.001143548,1,2.406191498,4,high_medium,1,2.406191498,1,2 day,48,700
CC,10_3B,0,Southern California Edison,0.75,21253.63252,15624,33.99257528,-117.7335082,21259.0415,21300,5.408978825,8,1,NA,NA,0.002859508,NA,1,0.740144543,4,high_medium,1,0.740144543,3,8 day,192,21300
W,8_3B,1,City of Anaheim Public Utilities Department,0.75,14812.45113,9114,33.82934606,-117.9440424,16829.07486,14800,2016.623727,10,1,1.605678478,NA,NA,NA,1,1.605678478,3,medium,0.8,1.284542782,3,8 day,192,14800
CC,4_3C,1,Pacific Gas & Electric Company,0.5,11698.76992,12435,37.30261332,-122.0234067,11259.06829,14000,439.701637,12,2,0.681622628,3750,NA,NA,1.2,0.681622628,2,low_medium,0.666666667,0.454415086,2,4 day,96,11700
Sec,1_4C,0,Pacific Gas & Electric Company,0.01,1705.352786,13426,40.32165168,-124.2850282,13097.10897,2000,11391.75618,12,2,0.586504194,2960,NA,NA,1.2,0.586504194,2,low_medium,0.666666667,0.391002796,2,4 day,96,1700
Sec,16_3B,0,Southern California Edison,0.75,196445.8043,16361,35.12710995,-118.4357486,196925.5005,235700,479.696251,12,1,NA,4180,NA,NA,1.2,0.837401844,3,medium,0.8,0.669921475,2,4 day,96,196400
Pri,15_3B,0,Imperial Irrigation District,0.9,82302.16623,1939,33.68835741,-116.1870253,82941.49603,82300,639.3297968,6,2,0.735908295,NA,0.002828628,NA,1,0.735908295,3,medium,0.8,0.588726636,3,8 day,192,82300
CC,10_3B,1,Southern California Edison,0.01,1176.130698,18115,34.08464129,-117.3109611,2184.121905,1400,1007.991207,7,1,0.611611461,NA,NA,NA,1.2,0.611611461,4,high_medium,1,0.611611461,2,4 day,96,1200
CC,12_3B,0,Turlock Irrigation District,0.75,21253.63252,951,37.48491867,-120.8495497,18704.82457,21300,2548.807948,3,1,NA,NA,NA,0.00032526,1,1.229594499,2,low_medium,0.666666667,0.819729666,1,2 day,48,21300
Pri,14_3B,0,Southern California Edison,0.9,82302.16623,17159,34.42189536,-117.2410412,82621.07561,82300,318.909379,6,2,0.853245382,NA,0.002541716,NA,1,0.853245382,1,low,0.5,0.426622691,3,8 day,192,82300
Sec,6_3B,1,Southern California Edison,0.9,259158.6438,1433,33.658987,-117.9345397,261401.7622,362800,2243.118395,4,1,NA,NA,NA,-1.80E-05,1.4,0.990896051,1,low,0.5,0.495448025,3,8 day,192,259200
Pri,16_4B,0,Southern California Edison,0.1,12924.50181,16446,37.36024735,-118.4110094,11436.04028,12900,1488.461537,6,2,0.920436625,NA,0.002252085,NA,1,0.920436625,5,high,1.333333333,1.227248833,3,8 day,192,12900
W,6_3B,1,Los Angeles Department of Water & Power,0.9,25203.47763,14387,34.08787545,-118.4741224,23277.12077,25200,1926.356869,12,1,NA,4520,NA,NA,1,1.768386576,5,high,1.333333333,2.357848768,3,8 day,192,25200
Sec,8_3B,1,Southern California Edison,0.75,196445.8043,1949,33.72609494,-117.8839818,196585.1072,275000,139.302961,6,2,0.636973337,NA,0.002090095,NA,1.4,0.636973337,3,medium,0.8,0.50957867,1,2 day,48,196400
CC,12_3B,0,Modesto Irrigation District,0.1,3198.771136,11644,37.77212564,-120.8511497,3380.727461,3200,181.9563247,1,2,0.688575791,3110,NA,NA,1,0.688575791,5,high,1.333333333,0.918101055,1,2 day,48,3200
W,6_3C,0,Southern California Edison,0.75,14812.45113,14496,34.43399813,-119.8140542,16369.33554,14800,1556.88441,8,1,NA,NA,0.001013831,NA,1,1.97303186,5,high,1.333333333,2.630709146,3,8 day,192,14800
W,8_3B,1,Los Angeles Department of Water & Power,0.9,25203.47763,7000,33.99089219,-118.2822407,23069.24829,25200,2134.229341,12,1,NA,4670,NA,NA,1,1.771467299,1,low,0.5,0.885733649,2,4 day,96,25200
Pri,16_3B,0,Southern California Edison,0.01,1655.672317,12433,34.23350822,-117.2067611,9450.966827,1700,7795.29451,8,1,NA,NA,NA,0.000967003,1,1.785710488,3,medium,0.8,1.428568391,2,4 day,96,1700
W,6_3C,1,Southern California Edison,0.25,4413.584968,4976,34.19300323,-119.1859028,4942.512929,4400,528.927961,8,1,NA,NA,0.001013831,NA,1,1.97303186,5,high,1.333333333,2.630709146,1,2 day,48,4400
Sec,6_3C,1,Southern California Edison,0.99,363477.3211,16814,34.21748368,-119.0082147,315655.2404,508900,47822.08072,12,1,NA,4790,NA,NA,1.4,0.764382313,3,medium,0.8,0.611505851,3,8 day,192,363500
Pri,4_3C,1,Pacific Gas & Electric Company,0.1,12924.50181,16988,37.27942537,-121.9228288,12932.27167,16800,7.76985525,7,1,NA,NA,NA,0.00031411,1.3,1.173998626,5,high,1.333333333,1.565331501,2,4 day,96,12900
Sec,6_3B,0,Southern California Edison,0.99,363477.3211,4119,33.75357523,-118.0091936,358001.6532,436200,5475.667931,6,1,NA,NA,0.001847866,NA,1.2,0.828766717,3,medium,0.8,0.663013374,3,8 day,192,363500
W,5_3C,1,Pacific Gas & Electric Company,0.25,4413.584968,9713,35.27964713,-120.660508,4430.801334,4400,17.21636612,5,1,NA,NA,NA,0.001206959,1,2.51027026,2,low_medium,0.666666667,1.673513507,2,4 day,96,4400
CC,3_3C,1,Pacific Gas & Electric Company,0.1,3198.771136,2990,37.80056175,-122.2486476,3279.461225,3800,80.69008872,9,1,NA,NA,0.001625302,NA,1.2,0.762140236,4,high_medium,1,0.762140236,3,8 day,192,3200
W,4_3C,0,Pacific Gas & Electric Company,0.01,1066.972869,15661,36.97107525,-121.5702542,1230.900612,1100,163.9277424,7,1,NA,NA,0.001053747,NA,1,2.011254155,2,low_medium,0.666666667,1.340836103,3,8 day,192,1100
W,9_3B,0,Los Angeles Department of Water & Power,0.25,4413.584968,2692,34.07246932,-118.3775764,5844.404389,4400,1430.819421,8,1,NA,NA,0.001165313,NA,1,1.798767564,4,high_medium,1,1.798767564,1,2 day,48,4400
CC,15_3B,0,Imperial Irrigation District,0.75,21253.63252,1936,33.67508228,-116.1755947,26247.58781,21300,4993.955291,7,2,0.517773518,NA,0.003801633,NA,1,0.517773518,4,high_medium,1,0.517773518,2,4 day,96,21300
Pri,1_3C,0,Pacific Gas & Electric Company,0,678.8926162,6426,38.74244321,-123.4985185,845.226023,700,166.3334068,7,1,NA,NA,NA,0.000715718,1,1.665430448,3,medium,0.8,1.332344359,2,4 day,96,700
W,8_3B,0,San Diego Gas & Electric,0.5,8158.175525,16085,33.58404562,-117.6604139,8028.682422,8200,129.4931022,4,1,NA,NA,NA,0.001008885,1,2.1264538,3,medium,0.8,1.70116304,1,2 day,48,8200
W,10_3B,0,San Diego Gas & Electric,0.01,1066.972869,8,33.12685112,-117.0744238,1191.808026,1100,124.8351564,7,1,1.638924727,NA,NA,NA,1,1.638924727,3,medium,0.8,1.311139782,1,2 day,48,1100
Pri,3_3B,0,Pacific Gas & Electric Company,0.75,67085.79308,1994,37.94236182,-122.3453581,68573.64277,67100,1487.849687,1,1,0.642100723,NA,NA,NA,1,0.642100723,3,medium,0.8,0.513680578,3,8 day,192,67100
W,6_3C,1,Southern California Edison,0.99,63974.19884,6274,34.43836241,-119.7137596,66427.30003,64000,2453.101196,10,1,1.887924352,NA,NA,NA,1,1.887924352,4,high_medium,1,1.887924352,2,4 day,96,64000
Coll,3_3C,1,Pacific Gas & Electric Company,0.1,1977.955545,1846,37.83669238,-122.2514595,2731.585218,2000,753.6296727,12,2,0.832201897,3500,NA,NA,1,0.832201897,5,high,1.333333333,1.109602529,2,4 day,96,2000
CC,16_5B,0,Pacific Gas & Electric Company,0.25,6010.724309,14751,41.31812051,-122.3098561,5765.363495,6000,245.3608141,4,1,NA,NA,NA,0.000357719,1,1.263963562,3,medium,0.8,1.011170849,3,8 day,192,6000
Pri,12_3B,0,Turlock Irrigation District,0.99,150264.4189,13736,37.52645256,-120.8014661,125684.9109,150300,24579.50802,1,2,0.580003246,3110,NA,NA,1,0.580003246,5,high,1.333333333,0.773337661,3,8 day,192,150300
Pri,6_3B,0,San Diego Gas & Electric,0.1,12924.50181,3857,33.50429971,-117.6505321,10065.96188,12900,2858.539937,6,1,NA,NA,0.002044039,NA,1,0.899072714,4,high_medium,1,0.899072714,2,4 day,96,12900
CC,5_3C,1,Pacific Gas & Electric Company,0.9,35182.88873,834,35.32582178,-120.738659,27841.40554,42200,7341.483188,8,1,NA,NA,0.001871265,NA,1.2,0.890805766,1,low,0.5,0.445402883,3,8 day,192,35200
CC,12_3C,0,Pacific Gas & Electric Company,0.25,6010.724309,4978,37.68683959,-121.784892,5043.595127,6000,967.1291816,7,1,NA,NA,0.00243127,NA,1,0.875288505,2,low_medium,0.666666667,0.58352567,2,4 day,96,6000
W,8_3B,1,Los Angeles Department of Water & Power,0.25,4413.584968,6955,34.00194813,-118.3302898,4469.308802,4400,55.72383428,10,1,1.605678478,NA,NA,NA,1,1.605678478,5,high,1.333333333,2.140904637,2,4 day,96,4400
Pri,15_2B,1,Imperial Irrigation District,0.01,1655.672317,9296,32.77643682,-115.5571042,4257.956421,2200,2602.284105,6,2,0.574332073,NA,0.00281911,NA,1.3,0.574332073,1,low,0.5,0.287166036,2,4 day,96,1700
Pri,8_3B,0,Southern California Edison,0.01,1655.672317,9504,33.89347898,-118.2277248,1984.749551,1700,329.0772339,12,2,0.795639536,4670,NA,NA,1,0.795639536,5,high,1.333333333,1.060852715,2,4 day,96,1700
W,10_3B,1,City of Riverside,0.01,1066.972869,17358,33.93497491,-117.3974473,1020.865109,1100,46.10775991,7,1,1.638924727,NA,NA,NA,1,1.638924727,4,high_medium,1,1.638924727,1,2 day,48,1100
Sec,12_3B,0,Turlock Irrigation District,0.25,62916.35818,4109,37.39958904,-120.8579347,56237.90639,75500,6678.451782,4,1,NA,NA,NA,0.000213758,1.2,1.126862995,3,medium,0.8,0.901490396,1,2 day,48,62900
Pri,15_2B,0,Imperial Irrigation District,0.25,34543.24085,9293,32.69061454,-115.4953937,31594.87151,34500,2948.369337,12,1,NA,5600,NA,NA,1,1.013290415,4,high_medium,1,1.013290415,3,8 day,192,34500
W,16_3B,0,Pacific Gas & Electric Company,0.5,8158.175525,16611,41.03119278,-121.4194432,10658.55789,8200,2500.38237,7,1,NA,NA,0.000864533,NA,1,2.498457218,2,low_medium,0.666666667,1.665638145,3,8 day,192,8200
Sec,12_3B,1,Pacific Gas & Electric Company,0.25,62916.35818,3996,37.32675942,-120.4764585,62928.79409,88100,12.4359181,6,1,NA,NA,0.002218441,NA,1.4,0.675838325,3,medium,0.8,0.54067066,3,8 day,192,62900
W,6_3C,0,Southern California Edison,0.5,8158.175525,4595,34.44540791,-119.8292637,7748.109986,8200,410.065539,10,1,1.887924352,NA,NA,NA,1,1.887924352,2,low_medium,0.666666667,1.258616234,3,8 day,192,8200
Coll,8_3B,0,Southern California Edison,1,1181339.045,1467,33.88478379,-118.096584,953400.1617,1181300,227938.8835,6,2,0.891762672,NA,0.002090095,NA,1,0.891762672,1,low,0.5,0.445881336,1,2 day,48,1181300
Pri,12_3B,0,Modesto Irrigation District,0.01,1655.672317,15584,37.74053681,-121.1299251,3755.303292,1700,2099.630976,6,1,NA,NA,0.002322793,NA,1,0.903666571,4,high_medium,1,0.903666571,3,8 day,192,1700
CC,6_3C,1,Southern California Edison,0.99,118774.7684,16309,34.243208,-119.0139171,45105.87068,142500,73668.89776,12,1,NA,4790,NA,NA,1.2,0.814235312,2,low_medium,0.666666667,0.542823541,2,4 day,96,118800
W,8_3B,1,City of Anaheim Public Utilities Department,0.99,63974.19884,17154,33.85131799,-117.7842952,70011.62944,64000,6037.4306,4,1,NA,NA,NA,0.001008885,1,2.1264538,2,low_medium,0.666666667,1.417635867,3,8 day,192,64000
Pri,14_3B,0,San Diego Gas & Electric,0.5,52939.76874,15098,32.64285724,-116.4869341,47398.76279,52900,5541.00595,12,1,NA,5660,NA,NA,1,1.076792206,5,high,1.333333333,1.435722941,2,4 day,96,52900
Sec,10_3B,1,Southern California Edison,0.5,115160.0833,13363,34.12930525,-117.2151036,116105.463,161200,945.379683,6,2,0.661186067,NA,0.002151556,NA,1.4,0.661186067,3,medium,0.8,0.528948853,3,8 day,192,115200
Pri,16_3B,0,Pacific Gas & Electric Company,0.5,52939.76874,185,40.88280817,-121.6552394,53119.03449,52900,179.2657569,1,1,0.784123982,NA,NA,NA,1,0.784123982,3,medium,0.8,0.627299186,3,8 day,192,52900
CC,12_3B,0,Pacific Gas & Electric Company,0.9,35182.88873,4911,38.55692489,-121.7471054,40112.67816,35200,4929.789433,1,2,0.688575791,3110,NA,NA,1,0.688575791,3,medium,0.8,0.550860633,3,8 day,192,35200
Pri,9_3C,1,Southern California Edison,0.5,52939.76874,15307,34.1439395,-118.850819,36817.90981,68800,16121.85893,7,1,NA,NA,NA,0.000266717,1.3,1.149348973,1,low,0.5,0.574674486,1,2 day,48,52900
Sec,3_3C,1,Pacific Gas & Electric Company,0.75,196445.8043,3062,37.75923389,-122.1638012,190476.248,275000,5969.556271,7,1,NA,NA,NA,0.00030411,1.4,1.236854125,2,low_medium,0.666666667,0.824569416,3,8 day,192,196400
W,6_3B,1,Los Angeles Department of Water & Power,0.5,8158.175525,7410,33.96007748,-118.4219618,8319.283185,8200,161.10766,12,1,NA,4520,NA,NA,1,1.768386576,2,low_medium,0.666666667,1.178924384,2,4 day,96,8200
Sec,16_3B,0,Southern California Edison,0.01,1705.352786,15311,34.23102989,-117.2094943,2835.411784,2000,1130.058997,6,1,NA,NA,0.001363408,NA,1.2,1.266985099,4,high_medium,1,1.266985099,3,8 day,192,1700
Coll,11_3B,1,Pacific Gas & Electric Company,0.75,100591.4455,16615,39.71559016,-121.7960436,54060.13813,100600,46531.30738,4,1,NA,NA,NA,0.000405599,1,1.287288764,5,high,1.333333333,1.716385019,1,2 day,48,100600
Coll,8_3B,1,Los Angeles Department of Water & Power,0.01,720.185473,7093,33.96750957,-118.2951613,1290.730878,700,570.5454047,6,2,0.891762672,NA,0.002090095,NA,1,0.891762672,5,high,1.333333333,1.189016896,2,4 day,96,700
Sec,4_3C,0,Pacific Gas & Electric Company,0.25,62916.35818,3165,36.8470282,-121.4117008,63528.36911,75500,612.0109299,7,1,NA,NA,NA,0.000440655,1.2,1.262498503,4,high_medium,1,1.262498503,2,4 day,96,62900
W,10_3B,0,Southern California Edison,0.99,63974.19884,16504,33.94775725,-116.9736566,64009.88722,64000,35.6883835,12,1,NA,4890,NA,NA,1,1.963572097,5,high,1.333333333,2.618096129,1,2 day,48,64000
W,6_3C,0,Southern California Edison,0.1,2543.392154,17277,34.42087412,-119.5969858,2731.691206,2500,188.2990517,10,1,1.887924352,NA,NA,NA,1,1.887924352,4,high_medium,1,1.887924352,1,2 day,48,2500
W,10_3B,0,Southern California Edison,0.1,2543.392154,12671,34.00677888,-117.0618653,2393.486221,2500,149.9059332,8,1,NA,NA,0.001277491,NA,1,1.656723117,4,high_medium,1,1.656723117,2,4 day,96,2500
W,11_3B,1,Pacific Gas & Electric Company,0.75,14812.45113,15855,40.58265546,-122.3919113,15080.7337,14800,268.2825718,4,1,NA,NA,NA,0.001003416,1,2.232696672,3,medium,0.8,1.786157338,2,4 day,96,14800
Sec,9_3B,1,Southern California Edison,0.99,363477.3211,3766,34.12979287,-118.0376499,377248.615,508900,13771.2939,7,1,NA,NA,NA,-9.91E-05,1.4,0.954265401,1,low,0.5,0.477132701,3,8 day,192,363500
CC,14_4B,0,Southern California Edison,0.01,1176.130698,17094,36.51073454,-116.8535476,1716.03109,1200,539.9003924,12,1,NA,5390,NA,NA,1,1.147269028,2,low_medium,0.666666667,0.764846019,2,4 day,96,1200
W,3_3B,0,Pacific Gas & Electric Company,0.25,4413.584968,2021,37.92549379,-122.3551812,3912.228708,4400,501.356259,12,2,1.459979596,3430,NA,NA,1,1.459979596,4,high_medium,1,1.459979596,3,8 day,192,4400
W,10_3B,1,San Diego Gas & Electric,0.75,14812.45113,16316,33.02711554,-117.0761213,13999.61758,14800,812.8335475,8,1,NA,NA,0.001277491,NA,1,1.656723117,2,low_medium,0.666666667,1.104482078,1,2 day,48,14800
